id	最小攻击	最大攻击	防	血	蓝	其他属性
id	minAtk	maxAtk	def	HP	MP	others
c	c	c	c	c	c	c
string	int	int	int	int	int	int[,]
1	10	20	5	100	100	300:10000
2	20	40	10	200	200	300:10001
3	30	60	15	300	300	300:10002
4	40	80	20	400	400	300:10003
5	50	100	25	500	500	300:10004
6	60	120	30	600	600	300:10005
7	70	140	35	700	700	300:10006
8	80	160	40	800	800	300:10007
9	90	180	45	900	900	300:10008
10	100	200	50	1000	1000	300:10009
11	110	220	55	1100	1100	300:10010
12	120	240	60	1200	1200	300:10011
13	130	260	65	1300	1300	300:10012
14	140	280	70	1400	1400	300:10013
15	150	300	75	1500	1500	300:10014
16	160	320	80	1600	1600	300:10015
17	170	340	85	1700	1700	300:10016
18	180	360	90	1800	1800	300:10017
19	190	380	95	1900	1900	300:10018
20	200	400	100	2000	2000	300:10019
21	210	420	105	2100	2100	300:10020
22	220	440	110	2200	2200	300:10021
23	230	460	115	2300	2300	300:10022
24	240	480	120	2400	2400	300:10023
25	250	500	125	2500	2500	300:10024
26	260	520	130	2600	2600	300:10025
27	270	540	135	2700	2700	300:10026
28	280	560	140	2800	2800	300:10027
29	290	580	145	2900	2900	300:10028
30	300	600	150	3000	3000	300:10029
31	310	620	155	3100	3100	300:10030
32	320	640	160	3200	3200	300:10031
33	330	660	165	3300	3300	300:10032
34	340	680	170	3400	3400	300:10033
35	350	700	175	3500	3500	300:10034
36	360	720	180	3600	3600	300:10035
37	370	740	185	3700	3700	300:10036
38	380	760	190	3800	3800	300:10037
39	390	780	195	3900	3900	300:10038
40	400	800	200	4000	4000	300:10039
41	410	820	205	4100	4100	300:10040
42	420	840	210	4200	4200	300:10041
43	430	860	215	4300	4300	300:10042
44	440	880	220	4400	4400	300:10043
45	450	900	225	4500	4500	300:10044
46	460	920	230	4600	4600	300:10045
47	470	940	235	4700	4700	300:10046
48	480	960	240	4800	4800	300:10047
49	490	980	245	4900	4900	300:10048
50	500	1000	250	5000	5000	300:10049
51	510	1020	255	5100	5100	300:10050
52	520	1040	260	5200	5200	300:10051
53	530	1060	265	5300	5300	300:10052
54	540	1080	270	5400	5400	300:10053
55	550	1100	275	5500	5500	300:10054
56	560	1120	280	5600	5600	300:10055
57	570	1140	285	5700	5700	300:10056
58	580	1160	290	5800	5800	300:10057
59	590	1180	295	5900	5900	300:10058
60	600	1200	300	6000	6000	300:10059
61	610	1220	305	6100	6100	300:10060
62	620	1240	310	6200	6200	300:10061
63	630	1260	315	6300	6300	300:10062
64	640	1280	320	6400	6400	300:10063
65	650	1300	325	6500	6500	300:10064
66	660	1320	330	6600	6600	300:10065
67	670	1340	335	6700	6700	300:10066
68	680	1360	340	6800	6800	300:10067
69	690	1380	345	6900	6900	300:10068
70	700	1400	350	7000	7000	300:10069
71	710	1420	355	7100	7100	300:10070
72	720	1440	360	7200	7200	300:10071
73	730	1460	365	7300	7300	300:10072
74	740	1480	370	7400	7400	300:10073
75	750	1500	375	7500	7500	300:10074
76	760	1520	380	7600	7600	300:10075
77	770	1540	385	7700	7700	300:10076
78	780	1560	390	7800	7800	300:10077
79	790	1580	395	7900	7900	300:10078
80	800	1600	400	8000	8000	300:10079
81	810	1620	405	8100	8100	300:10080
82	820	1640	410	8200	8200	300:10081
83	830	1660	415	8300	8300	300:10082
84	840	1680	420	8400	8400	300:10083
85	850	1700	425	8500	8500	300:10084
86	860	1720	430	8600	8600	300:10085
87	870	1740	435	8700	8700	300:10086
88	880	1760	440	8800	8800	300:10087
89	890	1780	445	8900	8900	300:10088
90	900	1800	450	9000	9000	300:10089
91	910	1820	455	9100	9100	300:10090
92	920	1840	460	9200	9200	300:10091
93	930	1860	465	9300	9300	300:10092
94	940	1880	470	9400	9400	300:10093
95	950	1900	475	9500	9500	300:10094
96	960	1920	480	9600	9600	300:10095
97	970	1940	485	9700	9700	300:10096
98	980	1960	490	9800	9800	300:10097
99	990	1980	495	9900	9900	300:10098
100	1000	2000	500	10000	10000	300:10099
101	1010	2020	505	10100	10100	300:10100
102	1020	2040	510	10200	10200	300:10101
103	1030	2060	515	10300	10300	300:10102
104	1040	2080	520	10400	10400	300:10103
105	1050	2100	525	10500	10500	300:10104
106	1060	2120	530	10600	10600	300:10105
107	1070	2140	535	10700	10700	300:10106
108	1080	2160	540	10800	10800	300:10107
109	1090	2180	545	10900	10900	300:10108
110	1100	2200	550	11000	11000	300:10109
111	1110	2220	555	11100	11100	300:10110
112	1120	2240	560	11200	11200	300:10111
113	1130	2260	565	11300	11300	300:10112
114	1140	2280	570	11400	11400	300:10113
115	1150	2300	575	11500	11500	300:10114
116	1160	2320	580	11600	11600	300:10115
117	1170	2340	585	11700	11700	300:10116
118	1180	2360	590	11800	11800	300:10117
119	1190	2380	595	11900	11900	300:10118
120	1200	2400	600	12000	12000	300:10119
121	1210	2420	605	12100	12100	300:10120
122	1220	2440	610	12200	12200	300:10121
123	1230	2460	615	12300	12300	300:10122
124	1240	2480	620	12400	12400	300:10123
125	1250	2500	625	12500	12500	300:10124
126	1260	2520	630	12600	12600	300:10125
127	1270	2540	635	12700	12700	300:10126
128	1280	2560	640	12800	12800	300:10127
129	1290	2580	645	12900	12900	300:10128
130	1300	2600	650	13000	13000	300:10129
131	1310	2620	655	13100	13100	300:10130
132	1320	2640	660	13200	13200	300:10131
133	1330	2660	665	13300	13300	300:10132
134	1340	2680	670	13400	13400	300:10133
135	1350	2700	675	13500	13500	300:10134
136	1360	2720	680	13600	13600	300:10135
137	1370	2740	685	13700	13700	300:10136
138	1380	2760	690	13800	13800	300:10137
139	1390	2780	695	13900	13900	300:10138
140	1400	2800	700	14000	14000	300:10139
141	1410	2820	705	14100	14100	300:10140
142	1420	2840	710	14200	14200	300:10141
143	1430	2860	715	14300	14300	300:10142
144	1440	2880	720	14400	14400	300:10143
145	1450	2900	725	14500	14500	300:10144
146	1460	2920	730	14600	14600	300:10145
147	1470	2940	735	14700	14700	300:10146
148	1480	2960	740	14800	14800	300:10147
149	1490	2980	745	14900	14900	300:10148
150	1500	3000	750	15000	15000	300:10149
151	1510	3020	755	15100	15100	300:10150
152	1520	3040	760	15200	15200	300:10151
153	1530	3060	765	15300	15300	300:10152
154	1540	3080	770	15400	15400	300:10153
155	1550	3100	775	15500	15500	300:10154
156	1560	3120	780	15600	15600	300:10155
157	1570	3140	785	15700	15700	300:10156
158	1580	3160	790	15800	15800	300:10157
159	1590	3180	795	15900	15900	300:10158
160	1600	3200	800	16000	16000	300:10159
161	1610	3220	805	16100	16100	300:10160
162	1620	3240	810	16200	16200	300:10161
163	1630	3260	815	16300	16300	300:10162
164	1640	3280	820	16400	16400	300:10163
165	1650	3300	825	16500	16500	300:10164
166	1660	3320	830	16600	16600	300:10165
167	1670	3340	835	16700	16700	300:10166
168	1680	3360	840	16800	16800	300:10167
169	1690	3380	845	16900	16900	300:10168
170	1700	3400	850	17000	17000	300:10169
171	1710	3420	855	17100	17100	300:10170
172	1720	3440	860	17200	17200	300:10171
173	1730	3460	865	17300	17300	300:10172
174	1740	3480	870	17400	17400	300:10173
175	1750	3500	875	17500	17500	300:10174
176	1760	3520	880	17600	17600	300:10175
177	1770	3540	885	17700	17700	300:10176
178	1780	3560	890	17800	17800	300:10177
179	1790	3580	895	17900	17900	300:10178
180	1800	3600	900	18000	18000	300:10179
181	1810	3620	905	18100	18100	300:10180
182	1820	3640	910	18200	18200	300:10181
183	1830	3660	915	18300	18300	300:10182
184	1840	3680	920	18400	18400	300:10183
185	1850	3700	925	18500	18500	300:10184
186	1860	3720	930	18600	18600	300:10185
187	1870	3740	935	18700	18700	300:10186
188	1880	3760	940	18800	18800	300:10187
189	1890	3780	945	18900	18900	300:10188
190	1900	3800	950	19000	19000	300:10189
191	1910	3820	955	19100	19100	300:10190
192	1920	3840	960	19200	19200	300:10191
193	1930	3860	965	19300	19300	300:10192
194	1940	3880	970	19400	19400	300:10193
195	1950	3900	975	19500	19500	300:10194
196	1960	3920	980	19600	19600	300:10195
197	1970	3940	985	19700	19700	300:10196
198	1980	3960	990	19800	19800	300:10197
199	1990	3980	995	19900	19900	300:10198
200	2000	4000	1000	20000	20000	300:10199
201	2010	4020	1005	20100	20100	300:10200
202	2020	4040	1010	20200	20200	300:10201
203	2030	4060	1015	20300	20300	300:10202
204	2040	4080	1020	20400	20400	300:10203
205	2050	4100	1025	20500	20500	300:10204
206	2060	4120	1030	20600	20600	300:10205
207	2070	4140	1035	20700	20700	300:10206
208	2080	4160	1040	20800	20800	300:10207
209	2090	4180	1045	20900	20900	300:10208
210	2100	4200	1050	21000	21000	300:10209
211	2110	4220	1055	21100	21100	300:10210
212	2120	4240	1060	21200	21200	300:10211
213	2130	4260	1065	21300	21300	300:10212
214	2140	4280	1070	21400	21400	300:10213
215	2150	4300	1075	21500	21500	300:10214
216	2160	4320	1080	21600	21600	300:10215
217	2170	4340	1085	21700	21700	300:10216
218	2180	4360	1090	21800	21800	300:10217
219	2190	4380	1095	21900	21900	300:10218
220	2200	4400	1100	22000	22000	300:10219
221	2210	4420	1105	22100	22100	300:10220
222	2220	4440	1110	22200	22200	300:10221
223	2230	4460	1115	22300	22300	300:10222
224	2240	4480	1120	22400	22400	300:10223
225	2250	4500	1125	22500	22500	300:10224
226	2260	4520	1130	22600	22600	300:10225
227	2270	4540	1135	22700	22700	300:10226
228	2280	4560	1140	22800	22800	300:10227
229	2290	4580	1145	22900	22900	300:10228
230	2300	4600	1150	23000	23000	300:10229
231	2310	4620	1155	23100	23100	300:10230
232	2320	4640	1160	23200	23200	300:10231
233	2330	4660	1165	23300	23300	300:10232
234	2340	4680	1170	23400	23400	300:10233
235	2350	4700	1175	23500	23500	300:10234
236	2360	4720	1180	23600	23600	300:10235
237	2370	4740	1185	23700	23700	300:10236
238	2380	4760	1190	23800	23800	300:10237
239	2390	4780	1195	23900	23900	300:10238
240	2400	4800	1200	24000	24000	300:10239
241	2410	4820	1205	24100	24100	300:10240
242	2420	4840	1210	24200	24200	300:10241
243	2430	4860	1215	24300	24300	300:10242
244	2440	4880	1220	24400	24400	300:10243
245	2450	4900	1225	24500	24500	300:10244
246	2460	4920	1230	24600	24600	300:10245
247	2470	4940	1235	24700	24700	300:10246
248	2480	4960	1240	24800	24800	300:10247
249	2490	4980	1245	24900	24900	300:10248
250	2500	5000	1250	25000	25000	300:10249
100000	95	105	10	1000	100	300:100000|301:5000
