id	经验上限
id	ExpMax
c	c
string	int
1	1000
2	4000
3	9000
4	16000
5	25000
6	36000
7	49000
8	64000
9	81000
10	100000
11	121000
12	144000
13	169000
14	196000
15	225000
16	256000
17	289000
18	324000
19	361000
20	400000
21	441000
22	484000
23	529000
24	576000
25	625000
26	676000
27	729000
28	784000
29	841000
30	900000
31	961000
32	1024000
33	1089000
34	1156000
35	1225000
36	1296000
37	1369000
38	1444000
39	1521000
40	1600000
41	1681000
42	1764000
43	1849000
44	1936000
45	2025000
46	2116000
47	2209000
48	2304000
49	2401000
50	2500000
51	2601000
52	2704000
53	2809000
54	2916000
55	3025000
56	3136000
57	3249000
58	3364000
59	3481000
60	3600000
61	3721000
62	3844000
63	3969000
64	4096000
65	4225000
66	4356000
67	4489000
68	4624000
69	4761000
70	4900000
71	5041000
72	5184000
73	5329000
74	5476000
75	5625000
76	5776000
77	5929000
78	6084000
79	6241000
80	6400000
81	6561000
82	6724000
83	6889000
84	7056000
85	7225000
86	7396000
87	7569000
88	7744000
89	7921000
90	8100000
91	8281000
92	8464000
93	8649000
94	8836000
95	9025000
96	9216000
97	9409000
98	9604000
99	9801000
100	10000000
101	10201000
102	10404000
103	10609000
104	10816000
105	11025000
106	11236000
107	11449000
108	11664000
109	11881000
110	12100000
111	12321000
112	12544000
113	12769000
114	12996000
115	13225000
116	13456000
117	13689000
118	13924000
119	14161000
120	14400000
121	14641000
122	14884000
123	15129000
124	15376000
125	15625000
126	15876000
127	16129000
128	16384000
129	16641000
130	16900000
131	17161000
132	17424000
133	17689000
134	17956000
135	18225000
136	18496000
137	18769000
138	19044000
139	19321000
140	19600000
141	19881000
142	20164000
143	20449000
144	20736000
145	21025000
146	21316000
147	21609000
148	21904000
149	22201000
150	22500000
151	22801000
152	23104000
153	23409000
154	23716000
155	24025000
156	24336000
157	24649000
158	24964000
159	25281000
160	25600000
161	25921000
162	26244000
163	26569000
164	26896000
165	27225000
166	27556000
167	27889000
168	28224000
169	28561000
170	28900000
171	29241000
172	29584000
173	29929000
174	30276000
175	30625000
176	30976000
177	31329000
178	31684000
179	32041000
180	32400000
181	32761000
182	33124000
183	33489000
184	33856000
185	34225000
186	34596000
187	34969000
188	35344000
189	35721000
190	36100000
191	36481000
192	36864000
193	37249000
194	37636000
195	38025000
196	38416000
197	38809000
198	39204000
199	39601000
200	40000000
201	40401000
202	40804000
203	41209000
204	41616000
205	42025000
206	42436000
207	42849000
208	43264000
209	43681000
210	44100000
211	44521000
212	44944000
213	45369000
214	45796000
215	46225000
216	46656000
217	47089000
218	47524000
219	47961000
220	48400000
221	48841000
222	49284000
223	49729000
224	50176000
225	50625000
226	51076000
227	51529000
228	51984000
229	52441000
230	52900000
231	53361000
232	53824000
233	54289000
234	54756000
235	55225000
236	55696000
237	56169000
238	56644000
239	57121000
240	57600000
241	58081000
242	58564000
243	59049000
244	59536000
245	60025000
246	60516000
247	61009000
248	61504000
249	62001000
250	62500000
