id	类型	x	y	缩放	名称	图片	前置挂机点列表
id	type	x	y	scale	name	icon	prefixPoints
c	c	c	c	c	c	c	c
string	tbl_枚举_地图点类型	double	double	double	string	string	string[]
1001001	1	300	476	1	后天1品分支1	guai01	
1002001	0	600	470	2	后天2品分支1	guai02	1
1003001	1	900	455	1	后天3品分支1	guai03	2
1004001	1	1200	559	1	后天4品分支1	guai04	3
1005001	1	1500	503	1	后天5品分支1	guai05	4
1006001	1	1800	505	1	后天6品分支1	guai06	5
1007001	1	2100	543	1	后天7品分支1	guai07	6
1008001	1	2400	519	1	后天8品分支1	guai08	7
1009001	1	2700	526	1	后天9品分支1	guai09	8
1010001	1	3000	199	1	后天10品分支1	guai10	9
1010002	1	3000	764	1	后天10品分支2	guai11	10
1011001	1	3300	424	1	后天11品分支1	guai12	11|12
